194, 'Ašigalio g. 23, Kaunas', '16', null, '3958', 'Aukuro'
195, 'Ašigalio g. 23, Kaunas', '16', null, '1649', 'Vaidilutės'
196, 'Šiaurės pr. 97, Kaunas', '16', null, '3491', 'Šiaurės'
197, 'Šiaurės pr. 73, Kaunas', '16', null, '3713', 'S. Žukausko'
198, 'Šiaurės pr. 73, Kaunas', '16', null, '3839', 'Statybininkų'
199, 'P. Lukšio g. 40, Kaunas', '16', null, '1956', 'Rasos'
200, 'Šiaurės pr. 55, Kaunas', '16', null, '3797', 'P. Plechavičiaus'
201, 'Šiaurės pr. 55, Kaunas', '17', null, '3887', 'K. Škirpos'
202, 'P. Lukšio g. 40, Kaunas', '17', null, '3944', 'P. Lukšio'
203, 'V. Krėvės pr. 84, Kaunas', '17', null, '4005', 'Buitininkų'
204, 'Partizanų g. 152, Kaunas', '17', null, '3364', 'Partizanų'
205, 'Pramonės pr. 22, Kaunas', '17', null, '2470', 'Pramonės'
206, 'Partizanų g. 118, Kaunas', '17', null, '3231', 'Dainavos'
207, 'Partizanų g. 68, Kaunas', '17', null, '2423', 'J. Urbšio'
208, 'Partizanų g. 68, Kaunas', '17', null, '2745', 'Sartų'
209, 'V. Krėvės pr. 50, Kaunas', '17', null, '2616', 'A. Timinskio'
210, 'Kovo 11-osios g. 94, Kaunas', '17', null, '2160', 'Nepriklausomybės'
211, 'Partizanų g. 46, Kaunas', '17', null, '3433', 'Vytauto'
212, 'Partizanų g. 46, Kaunas', '17', null, '3535', 'Atžalyno'
213, 'Pramonės pr. 20, Kaunas', '18', null, '2311', 'V. Krėvės'
214, 'Kovo 11-osios g. 94, Kaunas', '18', null, '2695', 'Specialistų'
215, 'Pramonės pr. 35, Kaunas', '18', null, '2367', 'Taikos'
216, 'Taikos pr. 51, Kaunas', '18', null, '2411', 'Vyturio'
217, 'Taikos pr. 51, Kaunas', '18', null, '2224', 'Butrimonių'
218, 'Kovo 11-osios g. 26, Kaunas', '18', null, '3024', 'Dujotiekio'
219, 'Kovo 11-osios g. 26, Kaunas', '18', null, '2118', 'Girstučio'
220, 'Taikos pr. 68, Kaunas', '18', null, '3141', 'Pašilės'
221, 'Kovo 11-osios g. 50, Kaunas', '18', null, '2631', 'Knygnešių'
222, 'Marių g. 37, Kaunas', '18', null, '3705', 'Palemono'
223, 'A. ir J. Gravrogkų g. 9, Kaunas', '18', null, '2040', 'Nemuno'
224, 'Betonuotojų g. 4, Kaunas', '18', null, '3226', 'Šilo'
225, 'M. Gimbutienės g. 9, Kaunas', '18', null, '4443', 'Buriuotojų'
226, 'Bitininkų g. 31, Kaunas', '19', null, '3028', 'Birutės'
227, 'Bitininkų g. 31, Kaunas', '19', null, '2185', 'Julijanavos'
228, 'Ž. E. Žilibero g. 6, Kaunas', '19', null, '2651', 'Piliakalnio'
229, 'Kranto 5-oji g. 7, Kaunas', '19', null, '3664', 'Sodų'
230, 'Vokiečių g. 164, Kaunas', '19', null, '2303', 'Šančių'
231, 'Sandėlių g. 7, Kaunas', '19', null, '2363', 'Drobės'
232, 'Skuodo g. 27, Kaunas', '19', null, '2369', 'Skuodo'
233, 'Verkių g. 30, Kaunas', '19', null, '3320', 'Žiburio'
234, 'Breslaujos g. 3, Kaunas', '19', null, '3532', 'Breslaujos'
235, 'Vaidoto g. 115, Kaunas', '19', null, '2657', 'Vaidoto'
236, 'Vaidoto g. 11, Kaunas', '19', null, '2681', 'Pušų'
237, 'Vaidoto g. 11, Kaunas', '19', null, '2106', 'Vičiūnų'
238, 'Vijūnų g. 2, Kaunas', '19', null, '2758', 'Rokų'
239, 'Vaišvydo g. 28, Kaunas', '19', null, '2366', 'Vaišvydavos'
240, 'S.Daukanto g. 31, Klaipėda', '20', null, '3079', 'Gimnazijos'
